"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","772","should reject: Empty username (min length is 1)","chromium","2026-05-15","passed","2026-05-15","Registration validation @auth","auth.spec.ts","",""
"","5488","should create an article and verify its content @smoke","chromium","2026-05-15","passed","2026-05-15","Article CRUD @articles","articles.spec.ts","",""
"","5854","should login with updated credentials and restore original profile data","chromium","2026-05-15","passed","2026-05-15","Profile settings @profile","profile.spec.ts","",""
"","1410","should add a comment to an article","chromium","2026-05-15","passed","2026-05-15","Article comments @articles","articles.spec.ts","",""
"","1523","should register a new user with valid data","chromium","2026-05-15","passed","2026-05-15","Registration @auth","auth.spec.ts","",""
"","4056","should show created article in global feed @smoke","chromium","2026-05-15","passed","2026-05-15","Article CRUD @articles > Global feed @articles","articles.spec.ts","",""
"","11092","should delete an article","chromium","2026-05-15","passed","2026-05-15","Article CRUD @articles","articles.spec.ts","",""
"","1367","should login with valid credentials @smoke","chromium","2026-05-15","passed","2026-05-15","Login @auth","auth.spec.ts","",""
"","2720","should add and remove a favorite","chromium","2026-05-15","passed","2026-05-15","Article favorites @articles","articles.spec.ts","",""
"","2594","should create and then edit an article","chromium","2026-05-15","passed","2026-05-15","Article CRUD @articles","articles.spec.ts","",""
"","2407","should display validation errors when updating profile with invalid data","chromium","2026-05-15","passed","2026-05-15","Profile settings @profile","profile.spec.ts","",""
"","2259","should login and logout successfully","chromium","2026-05-15","passed","2026-05-15","Login @auth","auth.spec.ts","",""
"","665","should reject: Invalid email and short password combined","chromium","2026-05-15","passed","2026-05-15","Registration validation @auth","auth.spec.ts","",""
"","2624","should register and then logout successfully","chromium","2026-05-15","passed","2026-05-15","Registration @auth","auth.spec.ts","",""
"","15095","should delete article with comment @articles","chromium","2026-05-15","passed","2026-05-15","Article CRUD @articles","articles.spec.ts","",""
"","2895","should successfully update profile with valid data","chromium","2026-05-15","passed","2026-05-15","Profile settings @profile","profile.spec.ts","",""
"","760","should reject login with invalid credentials","chromium","2026-05-15","passed","2026-05-15","Login @auth","auth.spec.ts","",""
"","1071","should reject: Invalid email format (not an email)","chromium","2026-05-15","passed","2026-05-15","Registration validation @auth","auth.spec.ts","",""
"","928","should navigate from login to register","chromium","2026-05-15","passed","2026-05-15","Auth navigation @auth","auth.spec.ts","",""
"","838","should reject: Password too short (7 chars, min is 8)","chromium","2026-05-15","passed","2026-05-15","Registration validation @auth","auth.spec.ts","",""
"","4862","should delete a comment from an article","chromium","2026-05-15","passed","2026-05-15","Article comments @articles","articles.spec.ts","",""
"","601","should navigate from register to login","chromium","2026-05-15","passed","2026-05-15","Auth navigation @auth","auth.spec.ts","",""
